delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
114,This train has been delayed by a problem currently under investigation,disruption-reason.e.a currently unidentified reason which is under investigation,disruption-reason.m.a currently unidentified reason which is under investigation,disruption-reason.e.a currently unidentified reason which is under investigation,disruption-reason.m.a currently unidentified reason which is under investigation
115,This train has been delayed by a problem near the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
116,This train has been delayed by a problem with a river bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
117,This train has been delayed by a problem with line side equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment
118,This train has been delayed by a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert
119,This train has been delayed by a train derailed earlier,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
120,This train has been delayed by a train fault,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train
121,This train has been delayed by a train late from the depot,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service
122,This train has been delayed by a train late from the depot earlier,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service
123,This train has been delayed by a trespass incident,disruption-reason.e.trespassers on the line,disruption-reason.m.trespassers on the line,disruption-reason.e.trespassers on the line,disruption-reason.m.trespassers on the line
124,This train has been delayed by a vehicle striking a bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
125,This train has been delayed by a vehicle striking a bridge earlier,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge
